ID,Issue Type,Summary,Description,Parent ID,Assignee,Priority,Status,Sprint,Estimate,Dependencies,Class
SP-01.2.1,Spike,Proveedor de identidad,Definir mecanismo de autenticacion y control de acceso por tenant. Bloquea US-01.2.1.,EP-01,Daniel Avila (DevOps),Highest,To Do,Sprint 0,5,-,Tecnica / Arquitectura
SP-04.1.1,Spike,Estrategia de despacho,Definir si el despacho de solicitudes es uno a la vez o simultaneo (afecta RNF-05).,EP-04,Juan Sebastian Alvarez (Alviz),Highest,To Do,Sprint 0,5,-,Tecnica / Arquitectura
SP-01.1.2,Spike,Resolucion de tenant por peticion,"Definir como cada peticion identifica su tenant (header, subdominio, token).",EP-01,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 0,3,SP-01.1.1,Tecnica / Arquitectura
SP-02.1.1,Spike,Modelo de cobertura,"Definir como se representa la cobertura por zonas (RNF-09, no por radio geografico).",EP-02,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 0,3,-,Tecnica / Arquitectura
SP-04.1.2,Spike,Exclusion concurrente (condicional),Definir control de concurrencia solo si el despacho resulta simultaneo (RNF-05).,EP-04,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 0,3,SP-04.1.1,Tecnica / Arquitectura
SP-02.1.2,Spike,Almacenamiento de documentos,Definir donde y como se guardan documentos KYC cargados por aliados.,EP-02,Daniel Avila (DevOps),Medium,To Do,Sprint 0,3,-,Tecnica / Arquitectura
SP-03.1.1,Spike,Configurabilidad del flujo por categoria,Definir nivel de configuracion del flujo operativo por categoria de servicio.,EP-03,Juan Sebastian Alvarez (Alviz),Medium,To Do,Sprint 0,3,-,Tecnica / Arquitectura
SP-04.4.1,Spike,Ponderacion de calificaciones,Definir como se agregan las calificaciones bidireccionales al cierre del servicio.,EP-04,Nicolas Alvarez (Frontend/QA),Medium,To Do,Sprint 0,3,-,Tecnica / Arquitectura
SP-05.1.1,Spike,Mecanismo de mensajeria en tiempo real,Definir como se entregan mensajes y notificaciones del ciclo del servicio.,EP-05,Daniel Avila (DevOps),Medium,To Do,Sprint 0,3,-,Tecnica / Arquitectura
SP-07.1.1,Spike,Operador de pagos (2do incremento),Evaluar operadores de pago certificados. Fuera de alcance de este corte (PROY-02).,EP-07,Nicolas Leon (PO),Low,To Do,Posterior (fuera de alcance del corte),2,-,Tecnica / Arquitectura
SP-07.1.2,Spike,Facturacion (2do incremento),Evaluar requisitos de facturacion electronica en Colombia. Fuera de alcance de este corte (PROY-02).,EP-07,Nicolas Leon (PO),Low,To Do,Posterior (fuera de alcance del corte),2,-,Tecnica / Arquitectura
SP-08.2.1,Spike,Integraciones de redes sociales (2do incremento),Evaluar integraciones para comercializacion. Fuera de alcance de este corte (PROY-02).,EP-08,Nicolas Leon (PO),Low,To Do,Posterior (fuera de alcance del corte),2,-,Tecnica / Arquitectura
B-01.2.1,Bug,Aislamiento de token entre tenants,Un token de un tenant no debe acceder a datos de otro (RNF-01).,EP-01,Juan Sebastian Alvarez (Alviz),Highest,To Do,Sprint 1,-,US-01.2.1,Calidad / Pruebas
B-02.1.1,Bug,Documentos de aliado visibles entre aliados,Documentos de un aliado no deben ser visibles para otros aliados del mismo tenant.,EP-02,Santiago (QA),High,To Do,Sprint 2,-,US-02.1.1,Calidad / Pruebas
B-04.1.1,Bug,Reasignacion al mismo aliado tras rechazo,Solicitud rechazada no debe reasignarse al mismo aliado en el mismo ciclo.,EP-04,Santiago (QA),Medium,To Do,Sprint 3,-,US-04.1.4,Calidad / Pruebas
B-04.1.2,Bug,Doble asignacion en aceptaciones concurrentes,Aceptaciones concurrentes deben dejar exactamente una asignacion valida (RNF-05).,EP-04,Santiago (QA),High,To Do,Sprint 3,-,US-04.1.4;SP-04.1.2,Calidad / Pruebas
US-01.1.1,Story,Registrar tenant,"Given credenciales validas de administrador de plataforma, When envio nombre/NIT/dominio, Then el tenant queda Activo y el evento se registra en auditoria. (RF-01)",EP-01,Juan Sebastian Alvarez (Alviz),Highest,To Do,Sprint 1,5,SP-01.1.1,Funcional
US-01.1.2,Task,Configurar documentos por tipo de aliado,"Definir documentos requeridos por tipo de aliado, configurable por tenant. (RF-02)",EP-01,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 1,5,US-01.1.1,Configuracion
US-01.1.3,Task,Configurar regla de posicionamiento del listado,"Configurar el criterio de orden del listado de aliados (cobertura/calificacion/comision) por tenant. (RF-02, RF-13)",EP-01,Juan Sebastian Alvarez (Alviz),Medium,To Do,Sprint 3,3,US-01.1.1,Configuracion
US-01.2.1,Story,Login restringido al tenant,"Given credenciales validas, When envio el login, Then recibo sesion restringida a mi tenant y no consulto datos de otro tenant. Bloqueo tras 5 intentos fallidos. (RF-03)",EP-01,Juan Sebastian Alvarez (Alviz),Highest,To Do,Sprint 1,5,SP-01.2.1,Funcional
US-01.2.2,Story,Recuperar contrasena,"Given un correo registrado, When solicito recuperacion, Then recibo enlace con expiracion de 30 minutos. (RF-04)",EP-01,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 1,3,US-01.2.1,Funcional
US-01.2.3,Task,Asignar roles a usuarios,"Given acceso de administrador, When asigno un rol a un usuario, Then obtiene los permisos del rol y el cambio queda auditado. (RF-03)",EP-01,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 1,3,US-01.2.1,Configuracion
US-02.1.1,Story,Registro aliado persona natural,Registrar aliado persona natural con documentos configurables del tenant. (RF-05),EP-02,Camila Beltran (Frontend),High,To Do,Sprint 2,5,US-01.1.2,Funcional
US-02.1.2,Story,Registro aliado empresa,Registrar aliado empresa con carta de representante legal. (RF-05),EP-02,Camila Beltran (Frontend),High,To Do,Sprint 2,5,US-01.1.2,Funcional
US-02.1.3,Story,Aprobar/rechazar registro de aliado,Bandeja de verificacion para aprobar o rechazar registros de aliado. (RF-06),EP-02,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 2,5,US-02.1.1,Funcional
US-02.1.4,Story,Declarar zona de cobertura,Aliado declara su zona de cobertura por zonas (no por radio). (RF-07),EP-02,Nicolas Alvarez (Frontend/QA),High,To Do,Sprint 2,5,SP-02.1.1,Funcional
US-02.1.5,Task,Registrar empleado directo,"Registrar empleado directo del tenant, sin flujo de aliado. (RF-05)",EP-02,Camila Beltran (Frontend),Medium,To Do,Sprint 2,3,US-01.1.2,Configuracion
US-02.2.1,Story,Registro cliente persona natural,Registrar cliente persona natural. (RF-08),EP-02,Nicolas Alvarez (Frontend/QA),High,To Do,Sprint 2,3,US-01.1.1,Funcional
US-02.2.2,Story,Cliente empresa con multiples sitios,Registrar cliente empresa con multiples sitios de servicio. (RF-08),EP-02,Nicolas Alvarez (Frontend/QA),Medium,To Do,Sprint 2,5,US-02.2.1,Funcional
US-02.2.3,Story,Reglas contextuales del sitio visibles al aliado,Registrar reglas del sitio y mostrarlas al aliado antes de agendar. (RF-09),EP-02,Nicolas Alvarez (Frontend/QA),Medium,To Do,Sprint 2,5,US-02.2.2,Funcional
US-03.1.1,Task,Crear categoria con flujo operativo,Definir categoria de servicio por tenant con su flujo operativo. (RF-10),EP-03,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 2,5,US-01.1.2,Configuracion
US-03.1.2,Task,Desactivar categoria sin afectar en curso,Desactivar categoria sin afectar servicios en curso. (RF-10),EP-03,Juan Sebastian Alvarez (Alviz),Medium,To Do,Sprint 2,3,US-03.1.1,Configuracion
US-03.1.3,Story,Aliado declara categorias que atiende,Aliado asocia las categorias de servicio que atiende. (RF-11),EP-03,Nicolas Alvarez (Frontend/QA),Medium,To Do,Sprint 2,3,US-03.1.1,Funcional
US-04.1.1,Story,Crear solicitud,Cliente crea solicitud de servicio. (RF-12),EP-04,Juan Sebastian Alvarez (Alviz),Highest,To Do,Sprint 3,5,US-02.2.1;US-03.1.1,Funcional
US-04.1.2,Story,Ver aliados validos por cobertura y categoria,Presentar aliados validos segun cobertura y categoria. (RF-12),EP-04,Juan Sebastian Alvarez (Alviz),Highest,To Do,Sprint 3,8,US-04.1.1;SP-02.1.1,Funcional
US-04.1.3,Story,Filtrar por tipo de aliado,Filtrar el listado de aliados por tipo. (RF-12),EP-04,Nicolas Alvarez (Frontend/QA),Low,To Do,Sprint 3,2,US-04.1.2,Funcional
US-04.1.4,Story,Aceptar/rechazar solicitud sin doble asignacion,"Aliado acepta o rechaza una solicitud asignada, sin dobles asignaciones. (RF-14)",EP-04,Juan Sebastian Alvarez (Alviz),Highest,To Do,Sprint 3,8,SP-04.1.1,Funcional
US-04.1.5,Story,Priorizar por comision ofrecida,Regla activa de priorizacion del listado por comision ofrecida. (RF-13),EP-04,Juan Sebastian Alvarez (Alviz),Medium,To Do,Sprint 3,5,US-04.1.2;US-01.1.3,Funcional
US-04.2.1,Story,Cotizacion con mano de obra y materiales separados,Elaborar cotizacion separando mano de obra y materiales. (RF-15),EP-04,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 3,5,US-04.1.4,Funcional
US-04.2.2,Story,Alerta de tarifa bidireccional,Alertar al aliado cuando la cotizacion se sale del rango de tarifas (por encima o por debajo). (RF-16),EP-04,Juan Sebastian Alvarez (Alviz),Medium,To Do,Sprint 3,3,US-04.2.1;US-06.1.1,Funcional
US-04.2.3,Story,Cliente acepta/rechaza/ajusta cotizacion,"Cliente acepta, rechaza o solicita ajuste a la cotizacion. (RF-17)",EP-04,Nicolas Alvarez (Frontend/QA),High,To Do,Sprint 3,5,US-04.2.1,Funcional
US-04.3.1,Story,Marcar inicio/fin de ejecucion,Marcar inicio y fin de la ejecucion del servicio. (RF-18),EP-04,Camila Beltran (Frontend),Medium,To Do,Sprint 4,3,US-04.2.3,Funcional
US-04.3.2,Story,Registrar eventos durante la ejecucion,Registro cronologico de eventos y observaciones durante la ejecucion. (RF-18),EP-04,Camila Beltran (Frontend),Medium,To Do,Sprint 4,3,US-04.3.1,Funcional
US-04.3.3,Story,Cliente consulta el log del servicio,Cliente consulta el log del servicio en ejecucion. (RF-18),EP-04,Camila Beltran (Frontend),Low,To Do,Sprint 4,2,US-04.3.2,Funcional
US-04.4.1,Story,Cliente califica al aliado,Calificacion del cliente hacia el aliado al cierre. (RF-19),EP-04,Nicolas Alvarez (Frontend/QA),Medium,To Do,Sprint 4,3,US-04.3.1,Funcional
US-04.4.2,Story,Aliado califica al cliente,Calificacion del aliado hacia el cliente al cierre. Servicio no cierra hasta que ambas partes califiquen. (RF-19),EP-04,Nicolas Alvarez (Frontend/QA),Medium,To Do,Sprint 4,3,US-04.4.1,Funcional
US-04.4.3,Story,Calificacion agregada visible en el listado,Mostrar calificacion agregada del aliado en el listado. (RF-19),EP-04,Nicolas Alvarez (Frontend/QA),Medium,To Do,Sprint 4,3,US-04.4.1,Funcional
TASK-04.R,Task,Endpoints idempotentes (resiliencia),"Aceptar solicitud, aceptar cotizacion y calificar deben ser idempotentes ante reintentos (RNF-03).",EP-04,Daniel Avila (DevOps),High,To Do,Sprint 3,5,US-04.1.4;US-04.2.3;US-04.4.1,Calidad / Pruebas
US-05.1.1,Story,Mensajeria cliente-aliado por servicio,Mensajeria entre cliente y aliado asociada a cada servicio. (RF-20),EP-05,Camila Beltran (Frontend),Medium,To Do,Sprint 4,5,US-04.1.4,Funcional
US-05.1.2,Story,Notificaciones de mensajes nuevos,Notificar a las partes cuando llega un mensaje nuevo. (RF-20),EP-05,Camila Beltran (Frontend),Medium,To Do,Sprint 4,3,US-05.1.1,Funcional
US-05.1.3,Story,Consultar conversacion para atender queja,Consultar el historial de conversacion de un servicio para atender una queja. (RF-21),EP-05,Camila Beltran (Frontend),Low,To Do,Sprint 4,3,US-05.1.1,Funcional
US-06.1.1,Task,Cargar tabla de tarifas por categoria,Cargar tabla de tarifas de referencia (min/tipico/max) por categoria y tenant. (RF-22),EP-06,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 3,5,US-03.1.1,Configuracion
US-06.1.2,Story,Ver tarifa de referencia al cotizar,Mostrar tarifa de referencia al aliado en el momento de cotizar. (RF-22),EP-06,Juan Sebastian Alvarez (Alviz),Medium,To Do,Sprint 3,2,US-06.1.1,Funcional
US-06.1.3,Story,Reporte de cotizaciones fuera de rango,Reportar cotizaciones fuera de rango por periodo. (RF-23),EP-06,Santiago (QA),Low,To Do,Sprint 4,3,US-04.2.2,Funcional
US-07.1.1,Story,Pago en linea al aceptar cotizacion,"2do incremento, fuera de alcance de este corte academico (PROY-02). (RF-24)",EP-07,Nicolas Leon (PO),Low,To Do,Posterior (fuera de alcance del corte),-,-,Funcional
US-07.1.2,Story,Registro de transacciones (audit log inmutable),"2do incremento, fuera de alcance de este corte academico (PROY-02). (RF-24, RNF-04)",EP-07,Nicolas Leon (PO),Low,To Do,Posterior (fuera de alcance del corte),-,-,Funcional
US-07.1.3,Story,Descargar soporte de pago,"2do incremento, fuera de alcance de este corte academico (PROY-02). (RF-24)",EP-07,Nicolas Leon (PO),Low,To Do,Posterior (fuera de alcance del corte),-,-,Funcional
US-07.2.1,Story,Liquidacion al aliado (comision configurable),"2do incremento, fuera de alcance de este corte academico (PROY-02). (RF-25)",EP-07,Nicolas Leon (PO),Low,To Do,Posterior (fuera de alcance del corte),-,-,Funcional
US-07.2.2,Story,Aliado consulta detalle de pagos,"2do incremento, fuera de alcance de este corte academico (PROY-02). (RF-25)",EP-07,Nicolas Leon (PO),Low,To Do,Posterior (fuera de alcance del corte),-,-,Funcional
US-08.1.1,Story,Cliente registra queja,"2do incremento, fuera de alcance de este corte academico (PROY-02). (RF-26)",EP-08,Nicolas Leon (PO),Low,To Do,Posterior (fuera de alcance del corte),-,-,Funcional
US-08.1.2,Story,Tenant gestiona estado de quejas,"2do incremento, fuera de alcance de este corte academico (PROY-02). (RF-26)",EP-08,Nicolas Leon (PO),Low,To Do,Posterior (fuera de alcance del corte),-,-,Funcional
US-08.2.1,Story,Publicar contenido en redes conectadas,"2do incremento, fuera de alcance de este corte academico (PROY-02). (RF-27)",EP-08,Nicolas Leon (PO),Low,To Do,Posterior (fuera de alcance del corte),-,-,Funcional
US-08.2.2,Story,Registrar campanas y ver desempeno,"2do incremento, fuera de alcance de este corte academico (PROY-02). (RF-27)",EP-08,Nicolas Leon (PO),Low,To Do,Posterior (fuera de alcance del corte),-,-,Funcional
US-08.3.1,Task,Metricas operativas por tenant,"2do incremento, fuera de alcance de este corte academico (PROY-02). (RF-28)",EP-08,Nicolas Leon (PO),Low,To Do,Posterior (fuera de alcance del corte),-,-,Configuracion
US-08.3.2,Task,Administrar estado de tenants,"2do incremento, fuera de alcance de este corte academico (PROY-02). (RF-28)",EP-08,Nicolas Leon (PO),Low,To Do,Posterior (fuera de alcance del corte),-,-,Configuracion
US-09.1.1,Task,Configurar repositorios GitHub,"Ramas, protecciones y plantilla de PR. Base de todo el flujo tecnico.",EP-09,Daniel Avila (DevOps),Highest,In Progress,Sprint 0,3,-,Configuracion
US-09.1.2,Task,Configurar CI/CD por repositorio (Flutter/Java/.NET),Workflows de GitHub Actions por repositorio (ADR-0004).,EP-09,Daniel Avila (DevOps),Highest,To Do,Sprint 1,8,US-09.1.1,Configuracion
US-09.1.3,Task,Configurar proyecto y tablero Jira,"Workflows, campos Clase/Subtipo/Prioridad/RF (ADR-0002).",EP-09,Sara Albarracin (SM),Highest,In Progress,Sprint 0,5,-,Configuracion
US-09.1.4,Task,Configurar canales Discord por ceremonia,"Canales #daily, #mesa-arquitectura, #sprint-planning, etc (Gobierno 1.3.1).",EP-09,Sara Albarracin (SM),High,In Progress,Sprint 0,2,-,Configuracion
US-09.1.5,Task,Configurar estructura documental OneDrive,Carpetas y permisos para documentacion formal (ADR-0001).,EP-09,Sara Albarracin (SM),High,In Progress,Sprint 0,2,-,Configuracion
US-09.1.6,Task,Configurar plantilla y carpeta /docs/adr en GitHub,"Carpeta y plantilla de ADR ya creadas y en uso (ADR-0001, ADR-0003).",EP-09,Daniel Avila (DevOps),High,Done,Sprint 0,2,-,Configuracion
US-09.2.1,Task,Configurar ambientes en Azure,Development/Testing/Production con nomenclatura ratificada en Mesa (ADR-0004).,EP-09,Daniel Avila (DevOps),Highest,To Do,Sprint 1,8,US-09.1.2,Configuracion
US-09.2.2,Task,Configurar base de datos y esquema inicial multi-tenant,Motor y esquema inicial segun SP-01.1.1 y PROY-07.,EP-09,Juan Sebastian Alvarez (Alviz),Highest,To Do,Sprint 1,8,SP-01.1.1,Configuracion
US-09.2.3,Task,Configurar gestion de secretos y variables por ambiente,Herramienta de gestion de secretos aun sin definir (Gobierno 2.4).,EP-09,Daniel Avila (DevOps),High,To Do,Sprint 1,5,US-09.2.1,Configuracion
US-09.2.4,Task,Configurar Kubernetes/AKS,"Distribucion, nodos y escalado. Requiere ADR de configuracion concreta (PROY-08, ADR-0004).",EP-09,Daniel Avila (DevOps),Highest,To Do,Sprint 2,8,US-09.2.1,Configuracion
US-09.3.1,Task,Configurar SonarQube,"Quality Gate, reglas, exclusion de falsos positivos (ADR-0005).",EP-09,Daniel Avila (DevOps),High,To Do,Sprint 1,5,US-09.1.2,Configuracion
US-09.3.2,Task,Configurar OWASP ZAP sobre Testing,Escaneo dinamico automatizado sobre el ambiente de Testing (ADR-0005).,EP-09,Santiago (QA),High,To Do,Sprint 1,5,US-09.2.1,Configuracion
US-09.3.3,Task,Configurar colecciones Postman/Newman por servicio,Colecciones y ambientes de prueba funcional por servicio.,EP-09,Santiago (QA),High,To Do,Sprint 1,3,US-09.1.2,Configuracion
US-09.3.4,Task,Configurar escenarios k6 de carga,Escenarios de carga sobre despacho y mensajeria.,EP-09,Santiago (QA),Medium,To Do,Sprint 3,5,SP-04.1.1,Configuracion
US-09.3.5,Task,Configurar stack de observabilidad,"Prometheus/Grafana/Datadog u otro, pendiente de ratificar en Mesa (ADR-0006 sin cerrar).",EP-09,Daniel Avila (DevOps),Highest,To Do,Sprint 2,8,US-09.2.1,Configuracion
US-09.4.1,Task,Configurar extraccion automatizada de indicadores,E1-E6 e I1-I5 extraidos desde Jira/GitHub sin captura manual (Gobierno 1.4.2).,EP-09,Sara Albarracin (SM),Highest,To Do,Sprint 1,8,US-09.1.3,Gestion / Proceso
US-09.4.2,Task,Configurar plantilla de Informe de Sprint,Plantilla Excel en OneDrive (Gobierno 1.2.2).,EP-09,Sara Albarracin (SM),Medium,To Do,Sprint 1,2,US-09.1.5,Gestion / Proceso
US-09.4.3,Task,Configurar Plan de Tareas del sprint,Plantilla y proceso de Plan de Tareas por sprint (Gobierno 1.2.2).,EP-09,Sara Albarracin (SM),Medium,To Do,Sprint 1,2,-,Gestion / Proceso
DOC-10.1.1,Task,SAD V1 - Drivers y Killers arquitectonicos,Identificar drivers y killers arquitectonicos del diseno de solucion (RNF-01/02/03/05 como candidatos).,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 1,3,-,Tecnica / Arquitectura
DOC-10.1.2,Task,SAD V1 - Atributos de calidad,Documentar atributos de calidad priorizados del sistema.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 1,3,DOC-10.1.1,Tecnica / Arquitectura
DOC-10.1.3,Task,SAD V1 - Escenarios de calidad,Redactar escenarios de calidad (estimulo/respuesta/medida) por atributo priorizado.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 1,3,DOC-10.1.2,Tecnica / Arquitectura
DOC-10.1.4,Task,SAD V1 - Trade-offs y ADR consolidados,Consolidar trade-offs y ADR-0001..0006 (y los que resulten de Sprint 1) en el SAD.,EP-10,Sara Albarracin (SM),High,To Do,Sprint 1,3,DOC-10.1.1,Tecnica / Arquitectura
DOC-10.1.5,Task,SAD V1 - Arquitectura de Alto Nivel (HLD),Vista de alto nivel de los componentes principales del sistema.,EP-10,Daniel Avila (DevOps),High,To Do,Sprint 1,5,DOC-10.1.1,Tecnica / Arquitectura
DOC-10.1.6,Task,SAD V1 - Arquitectura de Negocio,Vista de procesos de negocio: solicitud-cotizacion-ejecucion-calificacion-cierre.,EP-10,Nicolas Leon (PO),High,To Do,Sprint 1,3,DOC-10.1.1,Tecnica / Arquitectura
DOC-10.1.7,Task,SAD V1 - Arquitectura de Datos,Vista de datos: modelo conceptual multi-tenant.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 1,5,US-09.2.2,Tecnica / Arquitectura
DOC-10.1.8,Task,SAD V1 - Arquitectura de Infraestructura,"Vista de infraestructura: Azure, contenedores, ambientes.",EP-10,Daniel Avila (DevOps),High,To Do,Sprint 1,5,US-09.2.1,Tecnica / Arquitectura
DOC-10.1.9,Task,DD V1 - Modelos de datos y contratos,Modelos de datos y contratos de API iniciales.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 1,8,DOC-10.1.7,Tecnica / Arquitectura
DOC-10.1.10,Task,Prototipos Front (Mockup),Mockups navegables de las pantallas principales del MVP.,EP-10,Camila Beltran (Frontend),High,To Do,Sprint 1,5,-,Tecnica / Arquitectura
DOC-10.1.11,Task,Presentacion de la entrega (Review Sprint 1),Preparar y presentar la entrega ante el profesor.,EP-10,Sara Albarracin (SM),High,To Do,Sprint 1,2,DOC-10.1.9;DOC-10.1.10,Gestion / Proceso
DOC-10.1.12,Task,"Documento de Herramientas, Politicas y Lineamientos V2",Actualizar Matriz de Herramientas con decisiones de Sprint 0/1.,EP-10,Daniel Avila (DevOps),High,To Do,Sprint 1,3,-,Gestion / Proceso
DOC-10.1.13,Task,SRS V2,Actualizar SRS con resultados de spikes y ADR de Sprint 0/1.,EP-10,Nicolas Leon (PO),High,To Do,Sprint 1,3,-,Gestion / Proceso
DOC-10.1.14,Task,Backlog V2,Actualizar Product Backlog con resultado de Planning Sprint 1.,EP-10,Nicolas Leon (PO),High,To Do,Sprint 1,3,-,Gestion / Proceso
DOC-10.2.1,Task,SDD - Framework de modelado (4+1 | C4 model),Adoptar y aplicar framework de modelado 4+1/C4 para el diseno detallado.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 2,8,DOC-10.1.5,Tecnica / Arquitectura
DOC-10.2.2,Spike,PoC + ADR: Benchmarking y pruebas de concepto,"Benchmarking y PoC de las decisiones tecnicas clave, cerrado con ADR.",EP-10,Daniel Avila (DevOps),High,To Do,Sprint 2,8,-,Tecnica / Arquitectura
DOC-10.2.3,Task,Vista Fisica - Seguridad y configuracion de ambientes,Documentar seguridad y configuracion de ambientes Dev/QA/Prod.,EP-10,Daniel Avila (DevOps),High,To Do,Sprint 2,5,US-09.2.1,Tecnica / Arquitectura
DOC-10.2.4,Task,Presentacion de la entrega (Review Sprint 2),Preparar y presentar la entrega ante el profesor.,EP-10,Sara Albarracin (SM),High,To Do,Sprint 2,2,DOC-10.2.1;DOC-10.2.2;DOC-10.2.3,Gestion / Proceso
DOC-10.2.5,Task,"Documento de Herramientas, Politicas y Lineamientos V3",Actualizar Matriz de Herramientas con decisiones de Sprint 2.,EP-10,Daniel Avila (DevOps),High,To Do,Sprint 2,3,DOC-10.1.12,Gestion / Proceso
DOC-10.2.6,Task,SRS V3,Actualizar SRS con avances de Sprint 2.,EP-10,Nicolas Leon (PO),High,To Do,Sprint 2,3,DOC-10.1.13,Gestion / Proceso
DOC-10.2.7,Task,Backlog V3,Actualizar Product Backlog tras Planning Sprint 3.,EP-10,Nicolas Leon (PO),High,To Do,Sprint 2,3,DOC-10.1.14,Gestion / Proceso
DOC-10.2.8,Task,SAD V2 (actualizacion),Actualizar SAD con avances de Sprint 2.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 2,5,DOC-10.1.8,Tecnica / Arquitectura
DOC-10.2.9,Task,DD V2 (actualizacion),Actualizar DD con avances de Sprint 2.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 2,5,DOC-10.1.9,Tecnica / Arquitectura
DOC-10.2.10,Task,Documento de Infraestructura V1,Primera version del documento de infraestructura.,EP-10,Daniel Avila (DevOps),High,To Do,Sprint 2,5,DOC-10.2.3,Tecnica / Arquitectura
DOC-10.2.11,Task,Documento de Diseno SDD V1,Primera version del documento de diseno detallado (SDD).,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 2,5,DOC-10.2.1,Tecnica / Arquitectura
DOC-10.3.1,Task,Despliegue de componentes en QA,Desplegar el incremento de Sprint 3 en el ambiente de Testing/QA.,EP-10,Daniel Avila (DevOps),Highest,To Do,Sprint 3,5,US-09.2.1;US-09.1.2,Configuracion
DOC-10.3.2,Task,Informe de pruebas (Sprint 3),Consolidar resultados de pruebas funcionales/carga/seguridad del incremento.,EP-10,Santiago (QA),High,To Do,Sprint 3,5,US-09.3.1;US-09.3.2;US-09.3.3;DOC-10.3.1,Calidad / Pruebas
DOC-10.3.3,Task,Actualizacion de documento y arquitectura (Sprint 3),Actualizar documentacion de arquitectura con cambios reales del incremento.,EP-10,Juan Sebastian Alvarez (Alviz),High,To Do,Sprint 3,3,DOC-10.3.1,Tecnica / Arquitectura
DOC-10.3.4,Task,Demo del incremento de valor (Sprint 3),Preparar demo del incremento funcional entregado en Sprint 3.,EP-10,Sara Albarracin (SM),High,To Do,Sprint 3,2,DOC-10.3.1,Gestion / Proceso
